Dobbelt slag med knytnæver med håndfladerne opad,Doo joomeok jeochyeo jireugi
Udadgående adskille blokering,Momtong hechyeo makki
Slag med bagside af knytnæve i høj sektion med støtte,Geodeureo deung joomeok eolgul ap chigi
Udadgående slag med bagside af knytnæve,Deung joomeok bakkat chigi
Indadgående håndrodsblokering i midtersektion,Batangson momtong an makki
Flere ens spark med samme ben,Geodeup chagi
Pletspark,Pyojeok chagi
Krogspark,Nakeo chagi
Knæstød,Mooreup chigi
Kattenæve,Bo joomeok joonbi seogi
Dobbelt knytnæve,Bo joomeok joonbi seogi
Dækket næve,Bo joomeok joonbi seogi
Bjørnehånd,Bo joomeok joonbi seogi
Spidsstand,Bo joomeok joonbi seogi
Støtte,Bo joomeok joonbi seogi
Kryds,Bo joomeok joonbi seogi
Saks,Bo joomeok joonbi seogi
9 (koreansk),Bo joomeok joonbi seogi
10 (koreansk),Bo joomeok joonbi seogi
7 (sino-koreansk),Bo joomeok joonbi seogi
Blokering i midtersektion med støtte,Geodeureo momtong makki
Blokering i lav sektion med støtte,Geodeureo arae makki
Halv bjerg blokering,Oesanteul makki
Træk med en hånd og opadgående slag med den anden hånd mod hage,Danggyeo teok jireugi
"To spark efter hinanden i luften, hvor det første er et ""falsk spark""",Doobal dangsang chagi
Kastanjenæve,Bo joomeok joonbi seogi
Inderside af fod,Bo joomeok joonbi seogi
Spids hestestand,Bo joomeok joonbi seogi
Kort hestestand,Bo joomeok joonbi seogi
Hage,Bo joomeok joonbi seogi
Trække,Bo joomeok joonbi seogi
Bjerg,Bo joomeok joonbi seogi
Halvt bjerg,Bo joomeok joonbi seogi
8 (sino-koreansk),Bo joomeok joonbi seogi
Se bilag 4,Bo joomeok joonbi seogi
Dobbelt knivhåndsblokering i lav sektion,Sonnal arae makki
Lav blokering med knivhånd,Hansonnal arae makki
Nedadgående albuestød,Palkoop naereyo chigi
Opadgående albuestød,Palkoop ollyo chigi
To spark efter hinanden i luften med først det ene og så det andet ben (samme teknik),Twieo ieo chagi
Pincetnæve,Bo joomeok joonbi seogi
Omvendt knivhånd,Bo joomeok joonbi seogi
Sakse fingerstik,Bo joomeok joonbi seogi
Fingerstik med en finger,Bo joomeok joonbi seogi
Fingerstik med to samlede fingre,Bo joomeok joonbi seogi
Fingerstik med tre samlede fingre,Bo joomeok joonbi seogi
Hestestand med indaddrejede fødder,Bo joomeok joonbi seogi
Opadgående,Bo joomeok joonbi seogi
9 (sino-koreansk),Bo joomeok joonbi seogi
10 (sino-koreansk),Bo joomeok joonbi seogi
Se bilag 5,Bo joomeok joonbi seogi
Skubbe beholder klar stand,Tong milgi joonbi seogi
Plet slag fra hoften,Pyojeok jireugi
Albuestød til siden,Palkoop yeop chigi
Pletslag i lav sektion med yderside af knytnæve,Me joomeok arae pyojeok chigi
Knække knæ,Mooreup kkeokki
Adskille blokering med inderside af underarm,An palmok hechyeo makki
Fingerstik med håndflade opad,Pyeonsonkeut jeochyeo chireugi
Benævnelse for slag mod hals med agwison,Kaljebi
"Flyvespark med bagerste ben, afsæt på begge fødder",Twieo baggueo chagi
Fingerstik med fem samlede fingre,Tong milgi joonbi seogi
Knække,Tong milgi joonbi seogi
Runding mellem tommel- og pegefinger,Tong milgi joonbi seogi
Benævnelse for slag mod hals med agwison,Tong milgi joonbi seogi
Fingerstik med håndflade opad,Tong milgi joonbi seogi
T-stand,Tong milgi joonbi seogi
Hjælpestand,Tong milgi joonbi seogi
Tranestand,Haktari seogi
Slag mod hage med håndrod,Batangson teok chigi
Enkelt knivhåndsblokering,Hansonnal momtong makki
Diamant blokering,Keumgang makki
Stort hængsel,Keun dolcheogi
Bjerg blokering,Santeul makki
"Skriftlig teoriprøve som indeholder spørgsmål om teknikker, poomse'er, DTaF, WTF, mm.",Haktari seogi
Lav sektion adskille blokering med knivhånd,Sonnal arae hechyeo makki
Diamant blokering i midtersektion,Keumgang momtong makki
Lille hængsel,Jageun dolcheogi
Trækker rundt,Miteuro paegi
"Skriftlig teoriprøve som indeholder spørgsmål om teknikker, poomse'er, DTaF, WTF, mm.",Haktari seogi
Høj hjælpe side blokering,Geodeureo eolgol yeop makki
Adskille bjerg blokering,Hechyeo santeul makki
En hånd trækker og den anden udfører apchigi (deungjumeok),Danggyo teok chigi
Albuestød til siderne,Meonge chigi
Drej krop og udfør yeopchagi,Momdolmyeo yeopchagi
"Skriftlig teoriprøve som indeholder spørgsmål om teknikker, poomse'er, DTaF, WTF, mm.",Haktari seogi
Lav krydshåndsblokering m. knivhånd,Sonnal arae eotgeoreo makki
Omvendt knivhåndsblokering i midter sektion,Sonnal deung momtong makki
Trækker opad,Keureo olligi
Okse blokering,Hwangso makki
Håndfladen hjælper sideblokering,Sonbadak geodeureo yeop makki
Skubbe stor sten klar stand,Bawi milgi
Begge knytnæver udfører slag i momtong,Chetdari jireugi
"Skriftlig teoriprøve som indeholder spørgsmål om teknikker, poomse'er, DTaF, WTF, mm.",Haktari seogi
Skriftlig afhandling om Taekwondo,Haktari seogi
Enkelt knivhåndsblokering i høj sektion,Hansonnal eolgul makki
Diamant fremadgående slag i midtersektion,Keumgang ap jireugi
Pletslag til siden med lillefingersiden af knytnæve,Me jumeok yeop pyojeok chigi
"Skriftlig teoriprøve med baggrund i poomse, historie, fysiologi mm.",Haktari seogi
Skriftlig afhandling om Taekwondo relateret emne,Haktari seogi
Spredte vinger,Nalgae pyogi
Kastanje-næve slag mod hals,Bam jumeok sosum jireugi
Skubbe væk,Hwidullo makki
Fange og skubbe væk,Hwidullo jabadangkigi
Diamant knytnæveslag til siden,Keumgang yeop jireugi
Skubber et stort bjerg,Taesan milgi
En hånds bjerg blokering med knivhånd,Sonnal oesanteul makki
Vride blokering med inderside af underarm,An palmok momtong biteuro makki
"Skriftlig teoriprøve med baggrund i poomse, historie, fysiologi mm.",Haktari seogi
Skriftlig afhandling om Taekwondo relateret emne,Haktari seogi
